Lobpreis und Ehre;Daniel Jacobi, Jamie Harvill, Gary Sadler;1992;https://www.youtube.com/watch?v=860UfL-zcqc&list=RD860UfL-zcqc&start_radio=1;;;;;;;
Vater des Lichts;John Barnett, Irene Heidenreich, Stephanie Heinen, Thomas Tetzlaff;1991;https://www.youtube.com/watch?v=wN5peywATmM&list=RDwN5peywATmM&start_radio=1;;;;;;;
Du großer Gott, wenn ich die Welt betrachte;Manfred von Glehn, Carl Boberg;1912;https://www.youtube.com/watch?v=9bMVlRa6bgc&list=RD9bMVlRa6bgc&start_radio=1;;;;;;;
Vor deinem Kreuz, Herr, will ich stille werden;Johannes Jourdan, Klaus Heizmann;1991;https://www.youtube.com/watch?v=GR00YjPVlSM&list=RDGR00YjPVlSM&start_radio=1;;;;;;;
10000 Gründe;Jonas Myrin, Matt Redman;2011;https://www.youtube.com/watch?v=gGR72LlZK8g&list=RDgGR72LlZK8g&start_radio=1;;;;;;;
Allein deine Gnade genügt;Elke Reichert;1998;https://youtu.be/fivL0HZjnb8?si=Y7KGhvTASJxfhrH1;;;;;;;
Cornerstone;David Ware, Hillsong Worship;2011;https://youtu.be/izrk-erhDdk?si=BT07vGyFW84UGY2w;;;;;;;
Für den König;Albert Frey;2006;https://youtu.be/8Hz-NHzugw4?si=zEMZZhTQZTUanozs;;;;;;;
So bist nur du;Johannes Falk;2011;https://youtu.be/z9jwqPcoCnU?si=r7E8abelpb9il8fd;;;;;;;
Du tust;Tobi Wörner;2008;https://youtu.be/hs6WnoUVs8s?si=NqY-c0ZtdyDAcjC_;;;;;;;
Happy Day;Tim Hughes und Ben Cantelon;2008;https://www.youtube.com/watch?v=BOiIW8nrw5g;;;;;;;
Wunden zu Wunder;O'Bros;2023;https://www.youtube.com/watch?v=WEHClixwFlg&list=PLSumpbU1S_55JxNoE48RCLfYc9ZFw_4Sa&index=34;;;;;;;
JC - Livestyle;O'Bros;2017;https://www.youtube.com/watch?v=NG_jIWuehhk&list=PLSumpbU1S_55JxNoE48RCLfYc9ZFw_4Sa&index=46;;;;;;;
Real life;O'Bros;2023;https://www.youtube.com/watch?v=_9wo8Aozbg0&list=RD_9wo8Aozbg0&start_radio=1;;;;;;;
Es ist ein Ros entsprungen;Michael Praetorius;1609;https://youtu.be/uOsF-cs7dUs?si=IbkcVxP9XPeGYTUw;;;;;;;
In der Nacht von Bethlehem;Peter Strauch;1984;https://youtu.be/lfI1ilLSWEA?si=Cx_jUtQndJNJKJ3P;;;;;;;
Jesus ist kommen;Johann Ludwig Konrad Allendorf;1737;https://youtu.be/pVjVQnUrH6o?si=PPqV4t5TORcl6xud;;;;;;;
Macht hoch die Tür;Georg Weißel, Johann Anastasius Freylinghausen;1704;https://youtu.be/53W65rlcmsc?si=aQmsjQVkrqD51kU0;;;;;;;
Schuldlos schuldig;Jürgen Werth, Johannes Nitsch;1996;https://youtu.be/vosrY_disrU?si=LRO3lvOR6LS3tkuP;;;;;;;
Anker in der Zeit;Albert Frey;2010;https://youtube.com/watch?v=K4ef4MTyRzA&si=zw_bSxqvn1g8GxWS;;;;;;;
Ich will loben den Herrn allezeit (orginaltitel: Viyuda leolam teshev);Josef Jacobsen, Klaus Heizmann;1979;https://www.youtube.com/watch?v=2gYuM0GQuVU&list=RD2gYuM0GQuVU&start_radio=1;;;;;;;
Sinking deep;Hillsong Young & Free;2013;https://www.youtube.com/watch?v=1Mxoj8XQxec&list=RD1Mxoj8XQxec&start_radio=1;;;;;;;
Highs & Lows;Hillsong Young & Free;2018;https://www.youtube.com/watch?v=7ESO6SHEwGk&list=RD7ESO6SHEwGk&start_radio=1;;;;;;;
House of the Lord;Phil Wickham;2021;https://www.youtube.com/watch?v=h8uKldEUrPE&list=RDh8uKldEUrPE&start_radio=1;;;;;;;
Vereint als Christi Leib;Obros und YADA Worship;2024;https://www.youtube.com/watch?v=Lbx8ee-BURk&list=RDLbx8ee-BURk&start_radio=1;;;;;;;
Das ist mein König;Tobias Hundt;2012;https://www.youtube.com/watch?v=fz8ZJ9L9D9Y&list=RDfz8ZJ9L9D9Y&start_radio=1;;;;;;;
Indescibable;Laura Story, Jesse Reeves;2004;https://www.youtube.com/watch?v=_BQZjXetjNo&list=RD_BQZjXetjNo&start_radio=1;;;;;;;
Zwischen Himmel und Erde;Albert Frey;2002;https://www.youtube.com/watch?v=XBlEnB_KP6Q&list=RDXBlEnB_KP6Q&start_radio=1;;;;;;;
Wir beten dich an (Vater wir sind hier);Albert Frey;1999;https://www.youtube.com/watch?v=sMyAbnraq2Q&list=RDsMyAbnraq2Q&start_radio=1;;;;;;;
Above All;Paul Baloche, Lenny LeBlanc;1999;https://www.youtube.com/watch?v=LtJK5oqAh_8&list=RDLtJK5oqAh_8&start_radio=1;;;;;;;
Zufluchtsort ;Micheal Ledner, Gitta Leuschner;1985;https://www.youtube.com/watch?v=mw1L7KYHFkc&list=RDmw1L7KYHFkc&start_radio=1;;;;;;;
Befiehl du deine Wege;Paul Gerhardt, Bartholomäus Gesius;1653;https://www.youtube.com/watch?v=JaXAkgzwljE&list=RDJaXAkgzwljE&start_radio=1;;;;;;;
